amfi_code,scheme_name,fund_house,category,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,1.36,1.1801011976606492,0.300695178354917,-0.18188513572116294,0.825,0.9,0.975,0.625,0.6,82.125
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,1.43,0.9453082575156095,0.2995072440698805,-0.2870600572176455,1.0,0.675,0.95,0.475,0.875,81.75
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,1.52,0.9497958246616031,0.30684399095616777,-0.31171900300634214,0.875,0.7,1.0,0.3375,0.9,77.8125
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,1.45,1.3067439695428409,0.27432442337115226,-0.1297396816518679,0.75,0.975,0.9,0.44999999999999996,0.30000000000000004,74.625
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,1.38,1.093698743534631,0.2642483256820167,-0.16217208574644848,0.775,0.85,0.8,0.575,0.475,73.875
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,1.38,0.9982309868636413,0.26513044102622924,-0.20960883862039192,0.65,0.75,0.825,0.575,0.675,70.125
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,1.61,1.1321218524747243,0.2660366987533587,-0.17248105753451382,0.8,0.875,0.85,0.050000000000000044,0.525,68.875
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.46,1.4482911703262598,0.2708329302908048,-0.11265729075028275,0.6,1.0,0.875,0.42500000000000004,0.17500000000000004,68.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,0.8,1.0265242847993001,0.21513266006952858,-0.12588275606922517,0.525,0.775,0.75,0.7,0.275,63.375
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,1.6,1.2349300257743294,0.2803496275085804,-0.1639674294693263,0.45,0.95,0.925,0.08750000000000002,0.5,62.0625
